nama_skill,kategori,freq_industry,freq_academic,industry_norm,academic_norm,skill_gap_score
installation,Hard Skill,20,1788,0.20202020202020202,0.018751376464295828,0.18326882555590618
analyze,Hard Skill,13,1,0.13131313131313133,1.0487347015825407e-05,0.1313026439661155
python,Hard Skill,13,132,0.13131313131313133,0.0013843298060889537,0.12992880150704236
snowflake,Hard Skill,7,5,0.0707070707070707,5.2436735079127034e-05,0.07065463397199158
r,Hard Skill,5,102,0.050505050505050504,0.0010697093956141914,0.049435341109436315
science,Hard Skill,6,1788,0.06060606060606061,0.018751376464295828,0.041854684141764784
tableau,Hard Skill,4,73,0.04040404040404041,0.0007655763321552547,0.039638464071885156
coordination,Soft Skill,5,1788,0.050505050505050504,0.018751376464295828,0.03175367404075467
pyspark,Hard Skill,2,2,0.020202020202020204,2.0974694031650814e-05,0.020181045507988552
google,Hard Skill,2,4,0.020202020202020204,4.194938806330163e-05,0.0201600708139569
scala,Hard Skill,2,23,0.020202020202020204,0.00024120898136398435,0.01996081122065622
postgresql,Hard Skill,2,31,0.020202020202020204,0.0003251077574905876,0.019876912444529615
c,Hard Skill,2,69,0.020202020202020204,0.000723626944091953,0.019478393257928252
bigquery,Hard Skill,1,1,0.010101010101010102,1.0487347015825407e-05,0.010090522753994276
square,Hard Skill,1,1,0.010101010101010102,1.0487347015825407e-05,0.010090522753994276
reduce,Hard Skill,1,1,0.010101010101010102,1.0487347015825407e-05,0.010090522753994276
j,Hard Skill,1,4,0.010101010101010102,4.194938806330163e-05,0.0100590607129468
apache airflow,Hard Skill,1,6,0.010101010101010102,6.292408209495244e-05,0.010038086018915149
apache spark,Hard Skill,1,23,0.010101010101010102,0.00024120898136398435,0.009859801119646117
microsoft power bi,Hard Skill,1,24,0.010101010101010102,0.00025169632837980976,0.009849313772630292
amazon redshift,Hard Skill,1,27,0.010101010101010102,0.000283158369427286,0.009817851731582816
mongodb,Hard Skill,1,27,0.010101010101010102,0.000283158369427286,0.009817851731582816
docker,Hard Skill,1,28,0.010101010101010102,0.00029364571644311136,0.00980736438456699
nosql,Hard Skill,1,30,0.010101010101010102,0.0003146204104747622,0.00978638969053534
sas,Hard Skill,1,119,0.010101010101010102,0.0012479942948832234,0.00885301580612688
monitoring,Soft Skill,2,1788,0.020202020202020204,0.018751376464295828,0.001450643737724376
zylab zyimage,Hard Skill,0,1,0.0,1.0487347015825407e-05,-1.0487347015825407e-05
